English,Urdu_True,Urdu_Pred
i have to try,مجھے کوشش کرنی ہے۔,مجھے کوشش کرنی ہے
i swim once a week,میں ہفتے میں ایک بار تیراکی کرتا ہوں۔,میں ہفتے میں ایک بار تیراکی کرتا ہوں۔
a guards been killed,ایک محافظ مارا گیا,ایک محافظ مارا گیا
do you know this song,کیا آپ اس گانے کو جانتے ہیں,کیا آپ اس گانے کو جانتے ہیں؟
he is got lung cancer,اسے پھیپھڑوں کا کینسر ہے,اسے رینگ کا کینسر ہے
i cant leave,میں چھوڑ نہیں سکتا,میں نہیں چھوڑ سکتا
i am from america,میں امریکہ سے ہوں,میں امریکہ سے ہوں
youd better come in,بہتر ہے آپ اندر آجائیں,بہتر ہے کہ آپ اندر آئیں
i would love to,میں کرنا پسند کروں گا,میں محبت کروں گا
this work is not suitable for you,یہ کام آپ کے لیے موزوں نہیں ہے۔,یہ کام آپ کے لئے مناسب نہیں ہے
are you texting tom,کیا آپ ٹام کو ٹیکسٹ کر رہے ہیں,کیا آپ ٹام کو ٹیکسٹ کر رہے ہیں؟
he rang the doorbell,اس نے دروازے کی گھنٹی بجائی,اس نے دروازے کی گھنٹی بجائی
dont leave me behind,مجھے پیچھے مت چھوڑنا,مجھے پیچھے مت چھوڑو
wheres marys purse,میریز کا پرس کہاں ہے؟,مریم کا پرس کہاں ہے
count on it,اس پر اعتماد کرو,اس پر اعتماد کریں
dont call me again,مجھے دوبارہ کال مت کرنا,مجھے دوبارہ کال مت کرو
whose house is this,یہ کس کا گھر ہے,یہ کس کا گھر ہے
tell me a true story,مجھے ایک سچی کہانی بتائیں,مجھے ایک سچی کہانی بتائیں
why is he hiding,وہ کیوں چھپا رہا ہے,وہ کیوں چھپا ہوا ہے
listen all of you,تم سب کو سنو,سب سنو
he looked well,اس نے اچھی طرح دیکھا,وہ اچھا لگ رہا تھا
they are part of us,وہ ہمارا حصہ ہیں,وہ ہمارے حصہ ہیں
he left after me,وہ میرے پیچھے چلا گیا,وہ میرے بعد چلا گیا
i think zain is kind,میرے خیال میں زین مہربان ہے۔,میرے خیال میں زین مہربان ہے۔
how was your trip,آپ کا سفر کیسا رہا,آپ کا سفر کیسا رہا
wholl drive,پوری ڈرائیو کریں گے,مکمل ڈرائیو
its time to party,پارٹی کا وقت ہے,پارٹی کرنے کا وقت ہے
zain seems happy,زین خوش لگتا ہے,زین خوش لگتا ہے
youll be sorry,آپ کو افسوس ہو گا,آپ کو افسوس ہو گا
zain volunteered,زین رضاکارانہ طور پر,زین نے رضاکارانہ طور پر
"her mother-in-law is good natured,but not",اس کی ساس اچھی طبیعت کی ہے، لیکن نہیں۔,اس کی سوتیلا فطرت اچھی ہے، لیکن نہیں
zain is stubborn,زین ضدی ہے,زین ضدی ہے
he hung up his coat,اس نے اپنا کوٹ لٹکا دیا,اس نے اپنا کوٹ بند کر دیا
zain appears stunned,زین دنگ رہ گیا,زین دنگ رہ گیا دکھائی دیتا ہے۔
is that a question,کیا یہ ایک سوال ہے,کیا یہ ایک سوال ہے
we will find the truth,ہم سچ تلاش کریں گے,ہم سچ تلاش کریں گے
he must be very happy,وہ بہت خوش ہونا چاہئے,وہ بہت خوش ہونا چاہئے
is he still there,کیا وہ اب بھی وہاں ہے؟,کیا وہ اب بھی وہاں ہے
he lived a hard life,اس نے مشکل زندگی گزاری۔,اس نے ایک مشکل زندگی گزاری
few people think so,بہت کم لوگ ایسا سوچتے ہیں,بہت کم لوگ ایسا سوچتے ہیں
i am not going to the movies tomorrow,میں کل فلم دیکھنے نہیں جا رہا۔,میں کل فلموں میں نہیں جا رہا ہوں۔
i ran out of fuel,میرا ایندھن ختم ہو گیا۔,میں تیل ختم ہو گیا
money is needed,پیسے کی ضرورت ہے,پیسے کی ضرورت ہے
i bought it from tom,میں نے اسے ٹام سے خریدا,میں نے اسے ٹام سے خریدا۔
show me another bag,مجھے ایک اور بیگ دکھاؤ,مجھے ایک اور بیگ دکھائیں
i was wide awake,میں وسیع جاگ رہا تھا,میں وسیع جاگ رہا تھا
dont be so greedy,اتنا لالچی نہ بنو,اتنا لالچی نہ ہو
you are very brave,آپ بہت بہادر ہیں,تم بہت بہادر ہو
zain has a kind heart,زین کا دل مہربان ہے۔,زین ایک مہربان دل ہے
i had loads of fun,میں نے بہت مزہ کیا,مجھے بہت مزہ آیا
i think zain will win,مجھے لگتا ہے کہ زین جیت جائے گا,میرے خیال میں زین جیت جائے گا
i heard you singing,میں نے آپ کو گاتے سنا,میں نے آپ کو گاتے ہوئے سنا
milk has turned sour,دودھ کھٹا ہو گیا ہے,دودھ کھٹا ہو گیا ہے
i didnt sleep enough,میں کافی نہیں سوا۔,میں کافی سو نہیں گیا
his eyes widened,اس کی آنکھیں پھیل گئی,اس کی آنکھیں وسیع ہو گئی
get some sleep okay,ٹھیک ہے سو جاؤ,ٹھیک ہے کچھ سو لو
we should help the poor,ہمیں غریبوں کی مدد کرنی چاہئے,ہمیں غریبوں کی مدد کرنی چاہئے
i need new shoes,مجھے نئے جوتے چاہیے۔,مجھے نئے جوتوں کی ضرورت ہے۔
please do it quickly,براہ کرم اسے جلدی کریں,براہ کرم جلدی سے کرو
my elbow still hurts,میری کہنی اب بھی درد کرتی ہے۔,میری کہنی میں اب بھی درد ہوتا ہے
i admire them both,میں ان دونوں کی تعریف کرتا ہوں۔,میں ان دونوں کی تعریف کرتا ہوں۔
we all like cycling,ہم سب سائیکل چلانا پسند کرتے ہیں۔,ہم سب سائیکلنگ پسند کرتے ہیں
i worked in boston,میں نے بوسٹن میں کام کیا,میں نے بوسٹن میں کام کیا
i am not suicidal,میں خودکشی نہیں کر رہا ہوں۔,میں خودکشی نہیں کر رہا ہوں۔
thats how we did it,اس طرح ہم نے کیا,اس طرح ہم نے یہ کیا
zain decided to stay,زین نے قیام کا فیصلہ کیا۔,زین نے رکنا کا فیصلہ کیا۔
what is his name,اس کا نام کیا ہے,اس کا نام کیا ہے
i was not drunk,میں نشے میں نہیں تھا۔,میں نشے میں نہیں تھا۔
she cooks for him,وہ اس کے لیے کھانا پکاتی ہے۔,وہ اس کے لیے کھانا پکاتی ہے۔
get me up at eight,مجھے آٹھ بجے اٹھو,مجھے آٹھ بجے اٹھاؤ
i hope you slept well,مجھے امید ہے کہ آپ اچھی طرح سوئے ہوں گے۔,مجھے امید ہے کہ آپ اچھی طرح سو گئے
tomll wait,ٹمیل انتظار کریں,تم انتظار کرو
i cant forgive her,میں اسے معاف نہیں کر سکتا,میں اسے معاف نہیں کر سکتا
forgive me,مجھے معاف کر دو,مجھے معاف کر دو
why are you upset,آپ کیوں پریشان ہیں,تم کیوں پریشان ہو
do what you want,اَے خداوند ، جو تُو چاہتا ہے وہی کر۔,آپ جو چاہتے ہیں کریں
zain remained silent,زین خاموش رہا,زین خاموش رہا
you are a true friend,آپ ایک سچے دوست ہیں,آپ ایک سچے دوست ہیں
i assume you are angry,میں آپ کو غصہ ہے فرض,مجھے فرض ہے کہ آپ ناراض ہیں۔
thats my doll,وہ میری گڑیا ہے,یہ میری گڑیا ہے
dont look for me,مجھے مت ڈھونڈو,مجھے مت ڈھونڈو
take a seat please,براہ مہربانی ایک نشست لیں,برائے مہربانی تشریف رکھیے
zain ran out of food,زین کا کھانا ختم ہو گیا۔,زین کے پاس کھانا ختم ہو گیا۔
zain is helpless,زین بے بس ہے,زین بے بس ہے
i am off beer,میں بیئر سے دور ہوں,میں بیئر سے دور ہوں
it’s a useless debate,یہ ایک بیکار بحث ہے,یہ ایک بیکار بحث ہے
we need tom,ہمیں ٹام کی ضرورت ہے۔,ہمیں ٹام کی ضرورت ہے۔
he is not a liar,وہ جھوٹا نہیں ہے۔,وہ جھوٹا نہیں ہے
i asked zain why,میں نے زین سے پوچھا کیوں؟,میں نے زین سے پوچھا کیوں
i drove zain to school,میں نے زین کو اسکول پہنچایا,میں نے زین کو سکول لے گیا
what happened here,یہاں کیا ہوا ہے,یہاں کیا ہوا
i believe in you,مجھے آپ پر یقین ہے,میں آپ پر یقین رکھتا ہوں
she divorced him,اس نے اسے طلاق دے دی,اس نے اسے طلاق دے دیا
are you ready,کیا آپ تیار ہیں؟,کیا آپ تیار ہیں
that helped a lot,اس سے بہت مدد ملی,اس سے بہت مدد ملی
they are vegetarians,وہ سبزی خور ہیں,وہ سبزی خور ہیں
i will need your help,مجھے آپ کی مدد نہیں چاہیے,مجھے آپ کی مدد چاہیے
zain is good at math,زین ریاضی میں اچھا ہے,زین ریاضی میں اچھا ہے
those are the facts,یہ حقائق ہیں,وہ حقائق ہیں
its a shortcut,یہ ایک شارٹ کٹ ہے,یہ ایک مختصر cut ہے
i am meditating,میں مراقبہ کر رہا ہوں۔,میں مراقبہ کر رہا ہوں
i have a big nose,میری ناک بڑی ہے۔,میری ناک بڑی ہے
he is close to sixty,وہ ساٹھ کے قریب ہے۔,وہ ساٹھ کے قریب ہے
i want to sing a song,میں ایک گانا گانا چاہتے ہیں,میں ایک گانا گانا چاہتا ہوں
he called her mobile,اس نے اسے موبائل فون کیا۔,اس نے اسے موبائل بلایا
zain is not my son,زین میرا بیٹا نہیں ہے۔,زین میرا بیٹا نہیں ہے۔
it was such a shock,یہ ایک ایسا جھٹکا تھا,یہ اس طرح ایک شاک تھا
i have few books,میرے پاس بہت کم کتابیں ہیں,میرے پاس بہت کم کتابیں ہیں۔
that wont happen,ایسا نہیں ہوگا,ایسا نہیں ہوگا
it wasnt easy,یہ آسان نہیں تھا,یہ آسان نہیں تھا
zain is we will paid,زین ہے ہم ادا کریں گے۔,زین ہم ادا کریں گے
this is her house,یہ اس کا گھر ہے,یہ اس کا گھر ہے
it was all a big lie,یہ سب ایک بڑا جھوٹ تھا,یہ سب ایک بڑی جھوٹ تھی
i'll call the restaurant and make a reservation,میں ریستوراں کو کال کروں گا اور بکنگ کروں گا۔,میں ریستوراں کو کال کر ریزرویشن کروں گا۔
find tom,ٹام کو تلاش کریں,ٹام کو تلاش کریں
he has a nasal accent,اس کے پاس ناک کا لہجہ ہے۔,اس کا ناک کا accent ہے
zain forgot,زین بھول گیا,زین بھول گیا
i love books,میں کتابوں سے محبت کرتا ہوں,مجھے کتابیں پسند ہیں۔
wheres the toilet,ٹوائلٹ کہاں ہے,بیت الخلا کہاں ہے
zain is a lunatic,زین ایک پاگل ہے۔,زین ایک پاگل ہے
zain is very excited,زین بہت پرجوش ہے۔,زین بہت پرجوش ہے
who found him,جس نے اسے پایا,جس نے اسے پایا
we couldve escaped,ہم فرار ہو سکتے تھے,ہم فرار ہو سکتے تھے
i walk to school,میں مدرسه پیدل جاتا ہوں,میں اسکول جاتا ہوں
can i get you a drink while you are waiting,جب آپ انتظار کر رہے ہوں کیا میں آپ کو ایک مشروب لا سکتا ہوں؟,کیا آپ انتظار کرتے ہوئے میں آپ کو ایک مشروب لا سکتا ہوں؟
i loved that house,میں نے اس گھر سے محبت کی,میں اس گھر سے محبت کرتا تھا
zain seems hungry,زین کو بھوک لگ رہی ہے۔,زین بھوکا لگتا ہے
zain seems very happy,زین بہت خوش لگ رہا ہے۔,زین بہت خوش لگتا ہے
lets hurry it up,چلو جلدی کرو,اسے جلدی کرنے دو
thats his house,یہ اس کا گھر ہے,یہ اس کا گھر ہے
she can drive a car,وہ ایک کار چلا سکتے ہیں,وہ گاڑی چلا سکتی ہے۔
you are joking,تم مذاق کر رہے ہو,آپ مذاق کر رہے ہیں
your house is big,آپ کا گھر بڑا ہے,آپ کا گھر بڑا ہے
he has absolute power,اس کے پاس مطلق طاقت ہے,اس کے پاس مکمل طاقت ہے
champagne please,شیمپین براہ مہربانی,شیمپئن براہ مہربانی
they are traitors,وہ غدار ہیں,وہ غدارے ہیں
what is in this box,اس باکس میں کیا ہے,اس خانے میں کیا ہے
were not soldiers,سپاہی نہیں تھے,فوجی نہیں تھے۔
can you really swim,کیا آپ واقعی تیر سکتے ہیں؟,کیا آپ واقعی تیر سکتے ہیں
the door is locked,دروازہ بند ہے,دروازہ بند ہے
he banged his head,اس نے اپنا سر پیٹا,اس نے اپنا سر ٹکر مارا
i cant do anything,میں کچھ نہیں کر سکتا,میں کچھ نہیں کر سکتا
do not tell others,دوسروں کو مت بتانا,دوسروں کو مت بتائیں
this house is famous,یہ گھر مشہور ہے,یہ گھر مشہور ہے۔
i am using twitter,میں ٹویٹر استعمال کر رہا ہوں,میں ٹویٹر استعمال کر رہا ہوں۔
we will be home soon,ہم جلد ہی گھر پہنچ جائیں گے۔,ہم جلد ہی گھر آ جائیں گے
zain cried all night,زین ساری رات روتا رہا۔,زین ساری رات روتا رہا
we didnt do a thing,ہم نے ایک کام نہیں کیا,ہم نے کچھ نہیں کیا
who do you live with,آپ کس کے ساتھ رہتے ہیں,آپ کس کے ساتھ رہتے ہیں؟
i own a horse,میرے پاس ایک گھوڑا ہے۔,میرے پاس ایک گھوڑا ہے۔
that is a good idea,یہ ایک اچھا خیال ہے,یہ ایک اچھا خیال ہے
dont you play tennis,کیا آپ ٹینس نہیں کھیلتے,آپ ٹینس نہیں کھیلتے
i am an only child,میں اکلوتا بچہ ہوں,میں اکلوتا بچہ ہوں۔
zain has three cats,زین میں تین بلیاں ہیں,زین کے تین بلیاں ہیں۔
did you know that,کیا آپ جانتے ہیں...,کیا آپ جانتے ہیں کہ
just do your job,بس اپنا کام کرو,بس اپنا کام کریں
she invited him in,اس نے اسے اندر مدعو کیا,اس نے اسے اندر مدعو کیا
i dont even vote,میں ووٹ بھی نہیں دیتا,میں ووٹ بھی نہیں دوں
say no to drugs,منشیات کو ترک کرو,منشیات سے نہ کہو
i cracked the code,میں نے کوڈ توڑ دیا۔,میں نے کوڈ توڑ دیا۔
zain is busy now,زین ابھی مصروف ہے۔,زین اب مصروف ہے
zain cant decide,زین فیصلہ نہیں کر سکتا,زین فیصلہ نہیں کر سکتا
zain wanted some food,زین نے کچھ کھانا چاہا۔,زین کچھ کھانا چاہتا تھا
what did he look up,اس نے کیا دیکھا,اس نے اوپر کیا دیکھا
that surprises me,کہ مجھے حیرت ہے,یہ مجھے حیران کرتا ہے
what dont you have,آپ کے پاس کیا نہیں ہے,آپ کے پاس کیا نہیں ہے
he had no money,اس کے پاس پیسے نہیں تھے,اس کے پاس پیسے نہیں تھے
she is a runner,وہ ایک رنر ہے,وہ ایک رنر ہے
he refused to pay,اس نے ادائیگی سے انکار کر دیا,اس نے ادا کرنے سے انکار کر دیا
the sick man’s night is as a mountain,بیمار آدمی کی رات ایک پہاڑ کے طور پر ہے,بیمار آدمی کی رات ایک پہاڑ کی طرح ہے۔
i am old,میں بوڑھا ہوں,میں بوڑھا ہوں
were finished here,یہاں ختم ہو گئے,یہاں ختم ہو گئے تھے
zain is a fascist,زین ایک فاشسٹ ہے,زین ایک فاشسٹ ہے۔
are they all the same,کیا وہ سب ایک جیسے ہیں,کیا وہ سب ایک جیسے ہیں؟
you taught us that,آپ نے ہمیں سکھایا کہ,آپ نے ہمیں یہ سکھایا
i hope you win,مجھے امید ہے کہ آپ جیت جائیں گے۔,مجھے امید ہے کہ آپ جیتیں
i am confused now,میں اب الجھن میں ہوں,میں اب الجھن میں ہوں
i love french films,مجھے فرانسیسی فلمیں پسند ہیں۔,مجھے فرانسیسی فلمیں پسند ہیں۔
are you fat,کیا آپ موٹے ہیں؟,کیا تم موٹے ہو
zain makes me laugh,زین مجھے ہنساتا ہے,زین مجھے ہنساتا ہے۔
i cant exclude it,میں اسے خارج نہیں کر سکتا,میں اسے خارج نہیں کر سکتا
what do you do,کیاکرتی ہو اپ,آپ کیا کرتے ہو
come home before six,چھ سے پہلے گھر آجاؤ,چھ بجے سے پہلے گھر آو
it could be a trap,یہ ایک جال ہو سکتا ہے,یہ ایک جال ہو سکتا ہے
zain saved us all,زین نے ہم سب کو بچا لیا,زین نے ہم سب کو بچایا
where can i meet tom,میں ٹام سے کہاں مل سکتا ہوں؟,میں ٹام سے کہاں مل سکتا ہوں
i dont feel up to it,میں اس پر محسوس نہیں کرتا,میں اس کے ساتھ محسوس نہیں کرتا
did you know him,کیا تم اسے جانتے ہو؟,کیا آپ اسے جانتے تھے
his bicycle is blue,اس کی سائیکل نیلی ہے۔,اس کی سائیکل نیلی ہے۔
i am not so sure,مجھے یقین نہیں ہے.,مجھے اتنا یقین نہیں ہے
i am miserable,میں دکھی ہوں,میں دردناک ہوں
what has he done,اس نے کیا کیا ہے,اس نے کیا کیا ہے
shes dieting,وہ پرہیز کرتی ہے۔,وہ پرہیز کر رہا ہے
he isn't able to drive a car,اسے گاڑی چلانا نہیں آتی۔,وہ گاڑی چلانے کے قابل نہیں ہے۔
i need to get a stamp,مجھے ایک ڈاک ٹکٹ لینا ہے۔,مجھے ایک ڈاک ٹکٹ لینے کی ضرورت ہے۔
dont get me started,مجھے شروع نہ کرو,مجھے شروع نہ کرو
make sure zain comes,اس بات کو یقینی بنائیں کہ زین آئے,یقینی بنائیں کہ زین آئے
i am not biased,میں متعصب نہیں ہوں,میں متعصب نہیں ہوں۔
i want some money,mujhe paisa chahiye,مجھے کچھ پیسے چاہیے
i will pay for you,میں آپ کے لئے ادائیگی کروں گا,میں آپ کے لئے ادائیگی کروں گا
i agree to your terms,میں آپ کی شرائط سے اتفاق کرتا ہوں۔,میں آپ کی شرائط سے اتفاق کرتا ہوں
no news is good news,کوئی خبر بھی اچھی نہیں ہے,کوئی خبر اچھی خبر نہیں ہے
this shoe is very tight,یہ جوتا بہت تنگ ہے,یہ جوتا بہت تنگ ہے
he studied hard,اس نے سخت مطالعہ کیا,انہوں نے سخت مطالعہ کیا
i can smell the ocean,میں سمندر کو سونگھ سکتا ہوں۔,میں سمندر کو سونگھ سکتا ہوں۔
zain was irritated,زین کو غصہ آیا,زین کو پریشان ہوا
zain can trust mary,زین مریم پر بھروسہ کر سکتا ہے,زین مریم پر بھروسہ کر سکتا ہے۔
i wish i'd married another man,کاش میں نے کسی اور مرد سے شادی کرلی ہوتی۔,کاش میں دوسرے آدمی سے شادی کر دیتا
zain called,زین نے بلایا,زین نے بلایا
rabbits have long ears and short tails,خرگوش کے کان لمبے اور دم چھوٹی ہوتی ہے۔,خرگوشوں کی کان لمبی ہیں اور دم چھوٹی ہیں۔
i want to go to italy,میں اٹلی جانا چاہتا ہوں,میں اٹلی جانا چاہتا ہوں۔
what is your address,تمہارا پتہ کیا ہے,آپ کا پتہ کیا ہے
owls are cute,اللو پیارے ہیں,اللو پیارے ہیں
zain is just visiting,زین صرف دورہ کر رہا ہے,زین ابھی دورہ کر رہا ہے۔
he cant count,وہ شمار نہیں کر سکتا,وہ شمار نہیں کر سکتا
my horse ran away,میرا گھوڑا بھاگ گیا۔,میرا گھوڑا بھاگ گیا
i am very cold,میں بہت ٹھنڈا ہوں,میں بہت ٹھنڈا ہوں
i just want you back,میں صرف آپ کو واپس چاہتے ہیں,میں صرف آپ کو واپس چاہتے ہیں
whos at fault,قصور کس کا ہے,غلطی پر کون ہے
i am going to my hair cut,میں اپنے بال کٹوانے جا رہا ہوں۔,میں اپنے بال کٹوانے جا رہا ہوں۔
cherish this moment,اس لمحے کو یاد رکھیں,اس لمحے کو پسند کریں
you may enter,آپ داخل کر سکتے ہیں,آپ داخل ہو سکتے ہیں
dont ask for money,پیسے مت مانگو,پیسے کے لیے مت پوچھو
put your books away,اپنی کتابیں دور رکھیں,اپنی کتابیں دور رکھو
i come from china,میں چین سے آیا ہوں۔,میں چین سے آیا ہوں۔
i am ready for my bill,میں اپنے بل کے لئے تیار ہوں,میں اپنے بل کے لیے تیار ہوں۔
zain became irritated,زین کو غصہ آگیا,زین پریشان ہو گیا۔
my friend remembered which way to go,میرے دوست کو یاد تھا کہ کس راستے پہ جانا ہے۔,میرے دوست کو یاد آیا کہ کون سا راستہ جانا ہے۔
come downstairs,نیچے آو,نیچے آو
i pretended to work,میں نے کام کرنے کا بہانہ کیا۔,میں نے کام کرنے کا دکھاوا کیا
we have a plan,ہم ایک منصوبہ ہے,ہمارے پاس ایک منصوبہ ہے
stay in the car,گاڑی میں رہو,گاڑی میں رہو
stay with tom,ٹام کے ساتھ رہو,ٹام کے ساتھ رہو
thats life,یہی زندگی ہے,یہ زندگی ہے
is this correct,کیا یہ درست ہے,کیا یہ صحیح ہے
this isnt about you,یہ آپ کے بارے میں نہیں ہے,یہ آپ کے بارے میں نہیں ہے
who sings that song,وہ گانا کون گاتا ہے۔,وہ گانا کون گاتا ہے۔
do you know who he is,کیا تم جانتے ہو وہ کون ہے؟,کیا آپ جانتے ہیں کہ وہ کون ہے؟
zain knows the answer,زین جواب جانتا ہے۔,زین کو جواب معلوم ہے۔
why would i tell you,میں آپ کو کیوں بتاؤں,میں آپ کو کیوں بتاؤں گا
he knows the truth,وہ سچ جانتا ہے,وہ سچ جانتا ہے
i am very popular,میں بہت مقبول ہوں,میں بہت مقبول ہوں
he leaned towards me,وہ میری طرف جھکا,وہ میرے پاس جھک گیا
thats an old joke,یہ ایک پرانا مذاق ہے,یہ ایک پرانی بات ہے
try to catch me,مجھے پکڑنے کی کوشش کرو,مجھے پکڑنے کی کوشش کرو
zain is just nervous,زین صرف گھبرا گیا ہے,زین صرف گھبرا گیا ہے
i am a tourist,میں ایک سیاح ہوں,میں ایک سیاح ہوں
its a good plan,یہ ایک اچھا منصوبہ ہے,یہ ایک اچھا منصوبہ ہے
what was your name,آپ کا نام کیا تھا,ہائے
did i miss something,کیا میں نے کچھ یاد کیا؟,کیا میں نے کچھ یاد کیا؟
please say yes,براہ مہربانی ہاں کہیں,براہ کرم ہاں کہو
wheres the exit,باہر نکلنا کہاں ہے,جہاں نکلن
what is new,نیا کیا ہے,نیا کیا ہے
i hid it under my bed,میں نے اسے اپنے بستر کے نیچے چھپا دیا,میں نے اسے اپنے بستر کے نیچے چھپایا
i made my decision,میں نے اپنا فیصلہ کیا,میں نے اپنا فیصلہ کیا
you seem stressed,آپ دباؤ میں نظر آتے ہیں,آپ دباؤ میں لگ رہے ہیں
thanks,شکریہ,شکریہ
i am the law,میں قانون ہوں,میں قانون ہوں
i have no wife,میری کوئی بیوی نہیں ہے,میری کوئی بیوی نہیں ہے۔
let him pay for it,اسے اس کے لئے ادائیگی کرنے دو,اسے اس کے لئے ادائیگی کرنے دیں
i am very strong,میں بہت مضبوط ہوں۔,میں بہت مضبوط ہوں۔
he is tough on crime,وہ جرم پر سخت ہے,وہ جرموں پر سخت ہے
i have learned to cook,میں نے کھانا پکانا سیکھ لیا ہے,میں نے کھانا پکانا سیکھا ہے
we cant afford that,ہم اس کے متحمل نہیں ہو سکتے,ہم اس کے متحمل نہیں ہو سکتے
we walked to my room,ہم اپنے کمرے میں چلے گئے۔,ہم میرے کمرے میں چلے گئے
i booked a seat,میں نے ایک سیٹ بک کروائی,میں نے ایک سیٹ بک کیا
i love chinese food,مجھے چینی کھانا پسند ہے۔,مجھے چینی کھانا پسند ہے۔
i must concentrate,مجھے توجہ مرکوز کرنی چاہیے۔,مجھے توجہ مرکوز کرنا چاہئے
it never happened,یہ کبھی نہیں ہوا,یہ کبھی نہیں ہوا
i met zain tonight,میں آج رات زین سے ملا,میں آج رات زین سے ملا
come with me,"میرے پاس آؤ۔""","میرے پاس آؤ۔"""
i was happy yesterday,میں کل خوش تھا,میں کل خوش تھا
zain wants to help,زین مدد کرنا چاہتا ہے۔,زین مدد کرنا چاہتا ہے۔
i cant keep this up,میں اسے برقرار نہیں رکھ سکتا,میں اسے جاری نہیں کر سکتا
stop yelling at me,مجھ پر چیخنا بند کرو,مجھ پر چیخنا بند کرو
my joints ache,میرے جوڑوں میں درد,میرے کولہے میں درد ہے
walking is nice,چلنا اچھا ہے,چلنا اچھا ہے
its all in the room,یہ سب کمرے میں ہے,یہ کمرے میں سب ہے
zain drives,زین ڈرائیوز,زین چلاتا ہے
you look smashing,تم ٹوٹتے نظر آتے ہو۔,آپ دھڑکتے ہوئے نظر آتے ہیں
were zains parents,زین کے والدین تھے۔,زین کے والدین تھے۔
zain saw everything,زین نے سب کچھ دیکھا,زین نے سب کچھ دیکھا
i used to eat pizza,میں پیزا کھاتا تھا,میں پیزا کھاتا تھا
zain will catch us,زین ہمیں پکڑ لے گا۔,زین ہمیں پکڑے گا۔
may i sit down,کیا میں بیٹھ سکتا ہوں,میں بیٹھ سکتا ہوں
speak softly,نرمی سے بولنا,نرم بولو
why are you so happy,تم اتنی خوش کیوں ہو,تم اتنے خوش کیوں ہو
i am absolutely sure,مجھے بالکل یقین ہے,مجھے بالکل یقین ہے
you are quite right,آپ بالکل ٹھیک کہہ رہے ہیں,آپ بالکل ٹھیک کہہ رہے ہیں
he talks fast,وہ تیزی سے بات کرتا ہے,وہ تیزی سے بات کرتا ہے
why are you crying,تم کیوں رو رہے ہو,تم کیوں رو رہے ہو
zain wont let you go,زین تمہیں جانے نہیں دے گا۔,زین تمہیں جانے نہیں دے گا۔
you are great,تم بہت اچھے ہو!,آپ عظیم ہیں
read after me,میرے بعد پڑھیں,میرے بعد پڑھو
are you ok,کیا تم ٹھیک ہو؟,کیا تم ٹھیک ہو؟
we had to walk,ہمیں چلنا تھا,ہمیں چلنا پڑا
my house is small,میرا گھر چھوٹا ہے,میرا گھر چھوٹا ہے۔
his face brightened,اس کا چہرہ روشن,اس کا چہرہ روشن
what can you tell us,آپ ہمیں کیا بتا سکتے ہیں,آپ ہمیں کیا بتا سکتے ہیں
ask zain yourself,زین اپنے آپ سے پوچھیں,زین سے خود پوچھیں
buy one get one free,ایک کے ساتھ ایک مفت,ایک خریدو ایک مفت کرو
are you excited,کیا آپ پرجوش ہیں,کیا آپ پرجوش ہیں
"i told you to stop, didn't i",میں نے تمہیں رکنے کو کہا تھا، نہیں؟,میں نے آپ کو روکنے کے لئے کہا، کیا میں نے نہیں کیا
it was my decision,یہ میرا فیصلہ تھا,یہ میرا فیصلہ تھا
zain isnt my cousin,زین میرا کزن نہیں ہے,زین میرا کزن نہیں ہے
you are under arrest,اگر آپ کو گرفتار کیا جانا ہو:,آپ کو گرفتار کیا جانا ہے۔
i look like tom,میں ٹام کی طرح نظر آتا ہوں,میں ٹام کی طرح لگ رہا ہوں
i will never see him,میں اسے کبھی نہیں دیکھوں گا۔,میں اسے کبھی نہیں دیکھوں گا
dont you agree,آپ متفق نہیں ہیں,آپ اتفاق نہیں کرتے
it has to happen,یہ ہونا ہے,یہ کرنا ہے
i am telling a story,میں ایک کہانی سنا رہا ہوں۔,میں ایک کہانی سنائی جا رہا ہوں۔
they smell bad,ان سے بدبو آتی ہے,انہیں بدبو آ رہی ہے
why did you stop by,آپ کیوں رک گئے,تم کیوں رک گئے
were not partners,شراکت دار نہیں تھے۔,شراکت دار نہیں تھے
thanks again,ایک بار پھر شکریہ,دوبارہ شکریہ
my mom is worried,میری ماں پریشان ہے,میری ماں پریشان ہے
the line is busy,لائن مصروف ہے,لائن مصروف ہے
what did you do then,كب سو گي آپ,آپ نے پھر کیا کیا؟
it was so dark,بہت اندھیرا تھا,بہت اندھیرا تھا
i will check that,میں اسے چیک کروں گا۔,میں اسے چیک کروں گا۔
he has a japanese car,اس کے پاس ایک جاپانی کار ہے۔,اس کے پاس جاپانی کار ہے۔
it was an act of god,یہ خدا کا عمل تھا,یہ خدا کا ایک فعل تھا
i will buy that,میں اسے خریدوں گا۔,میں اسے خریدوں گا۔
i am attentive,میں توجہ دے رہا ہوں,میں ہوشیار ہوں
i have to see this,مجھے یہ دیکھنا ہے,مجھے یہ دیکھنا ہے۔
what is the point,کیا بات ہے,کیا بات ہے
lets go by bus,بس سے چلو,بس سے چلو
are you going home,کیا آپ گھر جا رہے ہیں؟,کیا تم گھر جا رہے ہو
zain loves sports,زین کو کھیلوں سے محبت ہے۔,زین کھیلوں سے محبت کرتا ہے
that is my book,وہ میری کتاب ہے,وہ میری کتاب ہے
